sensorId,lat,lon,boxName,boxId,unit,date,temp
5a0c347b9fd3c2001111b708,51.921125,7.620665,VennheideBox,5a0c347b9fd3c2001111b701,°C,2018-10-27T02Z,6.603295581745328
599c9b80d67eb500118c6b60,51.954793,7.650543,wb132ms,599c9b80d67eb500118c6b5e,°C,2018-10-27T02Z,6.049517824377199
5ab3dd50850005001bd25b5a,51.972139,7.642386,Wetterfuchs home,5ab3dd50850005001bd25b55,°C,2018-10-27T02Z,
591f578c51d34600116a8ea6,51.96422,7.645218,Wetterstation Erpho,591f578c51d34600116a8ea5,°C,2018-10-27T02Z,6.019928121732602
5a0c15289fd3c200110f3d3a,51.953351,7.641463,Wetterstation Hansaring,5a0c15289fd3c200110f3d33,°C,2018-10-27T02Z,6.82364482433497
56957f3ab3de1fe0052532e0,51.957090029248754,7.640642523765564,WG Wolbecker Str.,56957f3ab3de1fe0052532da,°C,2018-10-27T02Z,7.930483276335006
570bad2b45fd40c8197f13a8,51.974581,7.607807,Balkon Gasselstiege,570bad2b45fd40c8197f13a2,°C,2018-10-27T03Z,5.570194682985261
5750220bed08f9680c6b415a,51.95616769306822,7.6511693559587,BalkonBox Mindener Str.,5750220bed08f9680c6b4154,°C,2018-10-27T03Z,7.217687756717639
5b2689841fef04001b7af54c,51.966853,7.661677,Euglers Wetterstation,5b2689841fef04001b7af54a,°C,2018-10-27T03Z,5.739677956700418
5abd221b850005001b1aff37,51.973023,7.64153,Feinstaub_MS_PIUSALLEE,5abd221b850005001b1aff35,°C,2018-10-27T03Z,12.808388763457147
5a809753398b820011b45e88,51.953156,7.544077,Jackson Storm,5a809753398b820011b45e83,°C,2018-10-27T03Z,7.732838431951336
59c67b5ed67eb50011666dc0,51.946322,7.62677,kartoffelsalat,59c67b5ed67eb50011666dbb,°C,2018-10-27T03Z,5.107823766805375
58932c89d038b000102f7d3a,52.001647,7.614025,KiTa Glühwürmchen,58932c89d038b000102f7d35,°C,2018-10-27T03Z,5.5337871849311755
